month,tickets_sold,new_listings,new_signups,gmv_ils,buyer_fee_revenue_ils,seller_fee_revenue_ils,platform_revenue_ils,charge_volume_ils,payme_cost_ils,sms_cost_ils,hosting_ils,db_ils,cloudinary_ils,domain_ils,fixed_costs_ils,google_ads_ils,total_opex_ils,contribution_after_payme_ils,ebitda_ils,payme_pct_of_take,ads_pct_of_gmv
1,12,28,21,3600.00,432.00,0.00,432.00,4032.00,74.88,7.64,180.00,120.00,50.04,8.00,358.04,2000.00,2440.56,357.12,-2008.56,17.33%,55.56%
2,20,48,36,6000.00,720.00,0.00,720.00,6720.00,124.80,13.10,180.00,120.00,53.64,8.00,361.64,2000.00,2499.54,595.20,-1779.54,17.33%,33.33%
3,32,76,57,9600.00,1152.00,0.00,1152.00,10752.00,199.68,20.75,180.00,120.00,58.68,8.00,366.68,2000.00,2587.11,952.32,-1435.11,17.33%,20.83%
4,48,115,86,14400.00,1728.00,0.00,1728.00,16128.00,299.52,31.30,180.00,120.00,65.70,8.00,373.70,1008.00,1712.52,1428.48,15.48,17.33%,7.00%
5,70,168,126,21000.00,2520.00,0.00,2520.00,23520.00,436.80,45.86,180.00,120.00,75.24,8.00,383.24,1470.00,2335.90,2083.20,184.10,17.33%,7.00%
6,100,240,180,30000.00,3600.00,0.00,3600.00,33600.00,624.00,65.52,180.00,120.00,88.20,8.00,396.20,2100.00,3185.72,2976.00,414.28,17.33%,7.00%
7,135,324,243,40500.00,4860.00,0.00,4860.00,45360.00,842.40,88.45,180.00,200.00,103.32,8.00,491.32,2835.00,4257.17,4017.60,602.83,17.33%,7.00%
8,175,420,315,52500.00,6300.00,0.00,6300.00,58800.00,1092.00,114.66,270.00,200.00,120.60,8.00,598.60,3675.00,5480.26,5208.00,819.74,17.33%,7.00%
9,220,528,396,66000.00,7920.00,0.00,7920.00,73920.00,1372.80,144.14,270.00,200.00,140.04,8.00,618.04,4620.00,6754.98,6547.20,1165.02,17.33%,7.00%
10,270,648,486,81000.00,9720.00,0.00,9720.00,90720.00,1684.80,176.90,270.00,200.00,161.64,8.00,639.64,5670.00,8171.34,8035.20,1548.66,17.33%,7.00%
11,330,792,594,99000.00,11880.00,0.00,11880.00,110880.00,2059.20,216.22,450.00,360.00,187.56,8.00,1005.56,6930.00,10210.98,9820.80,1669.02,17.33%,7.00%
12,400,960,720,120000.00,14400.00,0.00,14400.00,134400.00,2496.00,262.08,450.00,360.00,217.80,8.00,1035.80,8400.00,12193.88,11904.00,2206.12,17.33%,7.00%
