Date,Time,Currency,Event Name,Impact
2019-01-03,10:00am,USD,ISM Manufacturing PMI,High Impact Expected
2019-01-04,10:15am,USD,FOMC Member Powell Speaks,High Impact Expected
2019-01-04,8:30am,USD,Average Hourly Earnings m/m,High Impact Expected
2019-01-04,8:30am,USD,Non-Farm Employment Change,High Impact Expected
2019-01-04,8:30am,USD,Unemployment Rate,High Impact Expected
2019-01-07,10:00am,USD,ISM Services PMI,High Impact Expected
2019-01-08,9:00pm,USD,President Trump Speaks,High Impact Expected
2019-01-09,2:00pm,USD,FOMC Meeting Minutes,High Impact Expected
2019-01-10,12:45pm,USD,FOMC Member Powell Speaks,High Impact Expected
2019-01-11,8:30am,USD,CPI m/m,High Impact Expected
2019-01-11,8:30am,USD,CPI y/y,High Impact Expected
2019-01-11,8:30am,USD,Core CPI m/m,High Impact Expected
2019-01-11,8:30am,USD,Core CPI y/y,High Impact Expected
2019-01-15,8:30am,USD,PPI m/m,High Impact Expected
2019-01-25,1:30pm,USD,President Trump Speaks,High Impact Expected
2019-01-29,10:00am,USD,CB Consumer Confidence,High Impact Expected
2019-01-30,2:00pm,USD,FOMC Statement,High Impact Expected
2019-01-30,2:00pm,USD,Federal Funds Rate,High Impact Expected
2019-01-30,2:30pm,USD,FOMC Press Conference,High Impact Expected
2019-02-01,10:00am,USD,ISM Manufacturing PMI,High Impact Expected
2019-02-01,8:30am,USD,Average Hourly Earnings m/m,High Impact Expected
2019-02-01,8:30am,USD,Non-Farm Employment Change,High Impact Expected
2019-02-01,8:30am,USD,Unemployment Rate,High Impact Expected
2019-02-05,10:00am,USD,ISM Services PMI,High Impact Expected
2019-02-05,9:00pm,USD,President Trump Speaks,High Impact Expected
2019-02-06,7:00pm,USD,FOMC Member Powell Speaks,High Impact Expected
2019-02-12,12:45pm,USD,FOMC Member Powell Speaks,High Impact Expected
2019-02-13,8:30am,USD,CPI m/m,High Impact Expected
2019-02-13,8:30am,USD,CPI y/y,High Impact Expected
2019-02-13,8:30am,USD,Core CPI m/m,High Impact Expected
2019-02-13,8:30am,USD,Core CPI y/y,High Impact Expected
2019-02-14,8:30am,USD,Core Retail Sales m/m,High Impact Expected
2019-02-14,8:30am,USD,PPI m/m,High Impact Expected
2019-02-14,8:30am,USD,Retail Sales m/m,High Impact Expected
2019-02-20,2:00pm,USD,FOMC Meeting Minutes,High Impact Expected
2019-02-21,8:30am,USD,Core Durable Goods Orders m/m,High Impact Expected
2019-02-26,10:00am,USD,CB Consumer Confidence,High Impact Expected
2019-02-26,9:45am,USD,Fed Chairman Powell Testifies,High Impact Expected
2019-02-27,10:00am,USD,Fed Chairman Powell Testifies,High Impact Expected
2019-02-28,8:15pm,USD,FOMC Member Powell Speaks,High Impact Expected
2019-02-28,8:30am,USD,Advance GDP q/q,High Impact Expected
2019-03-01,10:00am,USD,ISM Manufacturing PMI,High Impact Expected
2019-03-08,10:00pm,USD,FOMC Member Powell Speaks,High Impact Expected
2019-03-08,8:30am,USD,Average Hourly Earnings m/m,High Impact Expected
2019-03-08,8:30am,USD,Non-Farm Employment Change,High Impact Expected
2019-03-08,8:30am,USD,Unemployment Rate,High Impact Expected
2019-03-10,7:00pm,USD,FOMC Member Powell Speaks,High Impact Expected
2019-03-11,7:00pm,USD,FOMC Member Powell Speaks,High Impact Expected
2019-03-11,8:30am,USD,Core Retail Sales m/m,High Impact Expected
2019-03-11,8:30am,USD,Retail Sales m/m,High Impact Expected
2019-03-12,8:30am,USD,CPI m/m,High Impact Expected
2019-03-12,8:30am,USD,CPI y/y,High Impact Expected
2019-03-12,8:30am,USD,Core CPI m/m,High Impact Expected
2019-03-12,8:30am,USD,Core CPI y/y,High Impact Expected
2019-03-13,8:30am,USD,Core Durable Goods Orders m/m,High Impact Expected
2019-03-13,8:30am,USD,PPI m/m,High Impact Expected
2019-03-20,2:00pm,USD,FOMC Economic Projections,High Impact Expected
2019-03-20,2:00pm,USD,FOMC Statement,High Impact Expected
2019-03-20,2:00pm,USD,Federal Funds Rate,High Impact Expected
2019-03-20,2:30pm,USD,FOMC Press Conference,High Impact Expected
2019-03-26,10:00am,USD,CB Consumer Confidence,High Impact Expected
2019-03-28,8:30am,USD,Final GDP q/q,High Impact Expected
2019-04-01,10:00am,USD,ISM Manufacturing PMI,High Impact Expected
2019-04-01,8:30am,USD,Core Retail Sales m/m,High Impact Expected
2019-04-01,8:30am,USD,Retail Sales m/m,High Impact Expected
2019-04-02,8:30am,USD,Core Durable Goods Orders m/m,High Impact Expected
2019-04-05,8:30am,USD,Average Hourly Earnings m/m,High Impact Expected
2019-04-05,8:30am,USD,Non-Farm Employment Change,High Impact Expected
2019-04-05,8:30am,USD,Unemployment Rate,High Impact Expected
2019-04-10,2:00pm,USD,FOMC Meeting Minutes,High Impact Expected
2019-04-10,8:30am,USD,CPI m/m,High Impact Expected
2019-04-10,8:30am,USD,CPI y/y,High Impact Expected
2019-04-10,8:30am,USD,Core CPI m/m,High Impact Expected
2019-04-10,8:30am,USD,Core CPI y/y,High Impact Expected
2019-04-11,8:30am,USD,PPI m/m,High Impact Expected
2019-04-18,8:30am,USD,Core Retail Sales m/m,High Impact Expected
2019-04-18,8:30am,USD,Retail Sales m/m,High Impact Expected
2019-04-25,8:30am,USD,Core Durable Goods Orders m/m,High Impact Expected
2019-04-26,8:30am,USD,Advance GDP q/q,High Impact Expected
2019-04-30,10:00am,USD,CB Consumer Confidence,High Impact Expected
2019-05-01,10:00am,USD,ISM Manufacturing PMI,High Impact Expected
2019-05-01,2:00pm,USD,FOMC Statement,High Impact Expected
2019-05-01,2:00pm,USD,Federal Funds Rate,High Impact Expected
2019-05-01,2:30pm,USD,FOMC Press Conference,High Impact Expected
2019-05-03,10:00am,USD,ISM Services PMI,High Impact Expected
2019-05-03,8:30am,USD,Average Hourly Earnings m/m,High Impact Expected
2019-05-03,8:30am,USD,Non-Farm Employment Change,High Impact Expected
2019-05-03,8:30am,USD,Unemployment Rate,High Impact Expected
2019-05-09,8:30am,USD,FOMC Member Powell Speaks,High Impact Expected
2019-05-09,8:30am,USD,PPI m/m,High Impact Expected
2019-05-10,8:30am,USD,CPI m/m,High Impact Expected
2019-05-10,8:30am,USD,CPI y/y,High Impact Expected
2019-05-10,8:30am,USD,Core CPI m/m,High Impact Expected
2019-05-10,8:30am,USD,Core CPI y/y,High Impact Expected
2019-05-15,8:30am,USD,Core Retail Sales m/m,High Impact Expected
2019-05-15,8:30am,USD,Retail Sales m/m,High Impact Expected
2019-05-20,7:00pm,USD,FOMC Member Powell Speaks,High Impact Expected
2019-05-22,2:00pm,USD,FOMC Meeting Minutes,High Impact Expected
2019-05-24,8:30am,USD,Core Durable Goods Orders m/m,High Impact Expected
2019-05-30,8:30am,USD,Prelim GDP q/q,High Impact Expected
2019-06-03,10:00am,USD,ISM Manufacturing PMI,High Impact Expected
2019-06-04,9:55am,USD,FOMC Member Powell Speaks,High Impact Expected
2019-06-05,10:00am,USD,Fed Gov Nomination Hearings,High Impact Expected
2019-06-05,10:00am,USD,ISM Services PMI,High Impact Expected
2019-06-07,8:30am,USD,Average Hourly Earnings m/m,High Impact Expected
2019-06-07,8:30am,USD,Non-Farm Employment Change,High Impact Expected
2019-06-07,8:30am,USD,Unemployment Rate,High Impact Expected
2019-06-12,8:30am,USD,CPI m/m,High Impact Expected
2019-06-12,8:30am,USD,CPI y/y,High Impact Expected
2019-06-12,8:30am,USD,Core CPI m/m,High Impact Expected
2019-06-12,8:30am,USD,Core CPI y/y,High Impact Expected
